year	percentage
1996	0.010504627632510144
1997	0.01131807859697164
1998	0.010861417667954497
1999	0.01529261180555831
2000	0.010573912649315896
2001	0.008444130401559058
2002	0.012153771616991112
2003	0.010210170757459214
2004	0.012417500614557054
2005	0.012323362431244192
2006	0.01380328046058902
2007	0.01565536153474091
2008	0.016449791907657118
2009	0.032579489668015
2010	0.014778497736058974
2011	0.010088217836295956
2012	0.013585342902062059
2013	0.012193161062744508
2014	0.018155985944119327
2015	0.020838142544763884
